From,To,Net_balance_of_the_Central_Government,Interest_payments,Net_balance_of_the_Public_Investment_Budget,Status,,,
2009-01-01,2009-01-31,-1342,868,-728,Final,,,
2009-01-01,2009-02-28,-3403,974,-1715,Final,,,
2009-01-01,2009-03-31,-6354,2419,-2427,Final,,,
2009-01-01,2009-04-30,-10774,3474,-3258,Final,,,
2009-01-01,2009-05-31,-14628,5811,-4009,Final,,,
2009-01-01,2009-06-30,-19685,6585,-5465,Final,,,
2009-01-01,2009-07-31,-21470,8891,-5529,Final,,,
2009-01-01,2009-08-31,-21896,9977,-5563,Final,,,
2009-01-01,2009-09-30,-25603,10744,-6367,Final,,,
2009-01-01,2009-10-31,-27119,12026,-6561,Final,,,
2009-01-01,2009-11-30,-27466,12158,-6539,Final,,,
2009-01-01,2009-12-31,-32622,12276,-7304,Final,,,
2010-01-01,2010-01-31,-818,590,129,Final,,,
2010-01-01,2010-02-28,-1641,871,-611,Final,,,
2010-01-01,2010-03-31,-5678,2790,-1184,Final,,,
2010-01-01,2010-04-30,-7705,3332,-1955,Final,,,
2010-01-01,2010-05-31,-9544,5396,-2865,Final,,,
2010-01-01,2010-06-30,-11450,5731,-3252,Final,,,
2010-01-01,2010-07-31,-14439,8898,-3654,Final,,,
2010-01-01,2010-08-31,-15676,10682,-3306,Final,,,
2010-01-01,2010-09-30,-18504,11646,-4027,Final,,,
2010-01-01,2010-10-31,-20618,12742,-4602,Final,,,
2010-01-01,2010-11-30,-21379,12904,-5638,Final,,,
2010-01-01,2010-12-31,-23396,13223,-5063,Final,,,
2011-01-01,2011-01-31,352,579,-206,Final,,,
2011-01-01,2011-02-28,-1171,845,354,Final,,,
2011-01-01,2011-03-31,-4254,3234,-58,Final,,,
2011-01-01,2011-04-30,-6820,3816,-703,Final,,,
2011-01-01,2011-05-31,-10139,5841,-1033,Final,,,
2011-01-01,2011-06-30,-13152,7006,-1412,Final,,,
2011-01-01,2011-07-31,-15022,10215,-1456,Final,,,
2011-01-01,2011-08-31,-18605,12746,-1345,Final,,,
2011-01-01,2011-09-30,-19231,13946,-1608,Final,,,
2011-01-01,2011-10-31,-19781,15136,-1861,Final,,,
2011-01-01,2011-11-30,-20244,15452,-1603,Final,,,
2011-01-01,2011-12-31,-23144,16258,-2682,Final,,,
2012-01-01,2012-01-31,865,457,3,Final,,,
2012-01-01,2012-02-28,647,862,1035,Final,,,
2012-01-01,2012-03-31,-1318,2308,946,Final,,,
2012-01-01,2012-04-30,-3061,2670,549,Final,,,
2012-01-01,2012-05-31,-5114,3776,211,Final,,,
2012-01-01,2012-06-30,-6455,4134,-514,Final,,,
2012-01-01,2012-07-31,-7186,5103,-469,Final,,,
2012-01-01,2012-08-31,-6371,6042,-136,Final,,,
2012-01-01,2012-09-30,-6599,6057,-210,Final,,,
2012-01-01,2012-10-31,-6840,6527,-614,Final,,,
2012-01-01,2012-11-30,-7737,6841,-655,Final,,,
2012-01-01,2012-12-31,-10697,7218,-2194,Final,,,
2013-01-01,2013-01-31,392,248,-10,Final,,,
2013-01-01,2013-02-28,-1396,1301,609,Final,,,
2013-01-01,2013-03-31,-2760,1898,1139,Final,,,
2013-01-01,2013-04-30,-5268,2144,884,Final,,,
2013-01-01,2013-05-31,-7316,2932,583,Final,,,
2013-01-01,2013-06-30,-8720,3592,-22,Final,,,
2013-01-01,2013-07-31,-7932,4608,1836,Final,,,
2013-01-01,2013-08-31,-9041,5487,1463,Final,,,
2013-01-01,2013-09-30,-8881,5415,1268,Final,,,
2013-01-01,2013-10-31,-9079,5672,723,Final,,,
2013-01-01,2013-11-30,-9964,6056,505,Final,,,
2013-01-01,2013-12-31,-12794,6170,-2009,Final,,,
2014-01-01,2014-01-31,603,216,-276,Final,,,
2014-01-01,2014-02-28,221,1577,988,Final,,,
2014-01-01,2014-03-31,-1141,1988,1126,Final,,,
2014-01-01,2014-04-30,-1270,2223,898,Final,,,
2014-01-01,2014-05-31,-1875,2726,521,Final,,,
2014-01-01,2014-06-30,-1918,3166,608,Final,,,
2014-01-01,2014-07-31,-1721,4060,330,Final,,,
2014-01-01,2014-08-31,-2612,4845,50,Final,,,
2014-01-01,2014-09-30,-2213,4890,-230,Final,,,
2014-01-01,2014-10-31,-2250,5177,-594,Final,,,
2014-01-01,2014-11-30,-2841,5468,-1009,Final,,,
2014-01-01,2014-12-31,-4209,5644,-1866,Final,,,
2015-01-01,2015-01-31,-217,76,52,Final,,,
2015-01-01,2015-02-28,-920,1432,258,Final,,,
2015-01-01,2015-03-31,-918,2305,906,Final,,,
2015-01-01,2015-04-30,-1491,2742,703,Final,,,
2015-01-01,2015-05-31,-1703,3036,606,Final,,,
2015-01-01,2015-06-30,-1851,3428,875,Final,,,
2015-01-01,2015-07-31,-1416,4688,838,Final,,,
2015-01-01,2015-08-31,-1751,5103,505,Final,,,
2015-01-01,2015-09-30,-2499,5177,-100,Final,,,
2015-01-01,2015-10-31,-954,5526,275,Final,,,
2015-01-01,2015-11-30,-1901,5795,212,Final,,,
2015-01-01,2015-12-31,-3359,6049,-1571,Final,,,
2016-01-01,2016-01-31,287,116,429,Final,,,
2016-01-01,2016-02-28,429,1727,1172,Final,,,
2016-01-01,2016-03-31,524,2468,1304,Final,,,
2016-01-01,2016-04-30,205,2880,1009,Final,,,
2016-01-01,2016-05-31,-208,3005,855,Final,,,
2016-01-01,2016-06-30,-526,3428,753,Final,,,
2016-01-01,2016-07-31,-1807,4334,375,Final,,,
2016-01-01,2016-08-31,-1932,4746,-74,Final,,,
2016-01-01,2016-09-30,-1145,4802,-77,Final,,,
2016-01-01,2016-10-31,-908,5160,-219,Final,,,
2016-01-01,2016-11-30,-1423,5363,-136,Final,,,
2016-01-01,2016-12-31,-3569,5551,-2105,Final,,,
2017-01-01,2017-01-31,183,180,99,Temporary,,,
2017-01-01,2017-02-28,1592,1700,197,Temporary,,,
2017-01-01,2017-03-31,-251,2435,292,Temporary,,,
2017-01-01,2017-04-30,-188,2869,207,Temporary,,,
2017-01-01,2017-05-31,-320,3082,17,Temporary,,,
2017-01-01,2017-06-30,-890,3537,-75,Temporary,,,
2017-01-01,2017-07-31,-1378,4419,-46,Temporary,,,
2017-01-01,2017-08-31,-1499,4860,-388,Temporary,,,
2017-01-01,2017-09-30,-1067,4916,-500,Temporary,,,
2017-01-01,2017-10-31,-567,5234,-651,Temporary,,,
2017-01-01,2017-11-30,-1373,5471,-1678,Temporary,,,
2017-01-01,2017-12-31,-4434,6273,-3510,Temporary,,,
